Quarter,Open,Close,Nifty net sales,Nifty net profit,TCS net sales ,TCS net profit,Infosys net sales,Infosys net profit,HCL net sales,HCL net profit,Nifty change_profit,Nifty change_close,Nifty label,TCS change_profit,Infosys change_profit,HCL change_profit,Nifty change_sales,TCS change_sales,Infosys change_sales,HCL change_sales,Last_close
Dec-15,11120.83,11118.86,8626165.33,890.69,21621,5991,13562,3163,4471.85,1649.66,0,0,1,0,0,0,0,0,0,0,11118.86
Mar-16,10901.89,10892,13640220.26,1225.26,22258,5728,14158,3391,4612.64,1671.51,37.56,-2.04,-1,-4.39,7.21,1.32,58.13,2.95,4.39,3.15,11118.86
Jun-16,11233.45,11232.51,12083445.94,1158.64,23087,5778,14420,3180,4608.8,1799.29,-5.44,3.13,1,0.87,-6.22,7.64,-11.41,3.72,1.85,-0.08,10892
Sep-16,10769.15,10748.72,13051316.13,1185.47,23016,5958,15000,3476,4705.77,1690.72,2.32,-4.31,-1,3.12,9.31,-6.03,8.01,-0.31,4.02,2.1,11232.51
Dec-16,10033.53,10031.09,13081942.31,1050.86,23184,6084,14949,3599,4889.26,1661.54,-11.35,-6.68,-1,2.11,3.54,-1.73,0.23,0.73,-0.34,3.9,10748.72
Mar-17,10457.94,10458,15889007.82,1330.53,23406,5833,14920,3562,5114.48,1721.14,26.61,4.26,1,-4.13,-1.03,3.59,21.46,0.96,-0.19,4.61,10031.09
Jun-17,10337.45,10320.91,13822957.61,1126.63,23476,6670,14971,3415,5179,1762,-15.32,-1.31,-1,14.35,-4.13,2.37,-13,0.3,0.34,1.26,10458
Sep-17,10552.04,10540.58,20798702.3,1440.91,24032,5746,15356,3579,5460,1790,27.9,2.13,1,-13.85,4.8,1.59,50.46,2.37,2.57,5.43,10320.91
Dec-17,11069.12,11082.76,22397767.66,1200.71,24278,6069,15631,6004,5723,1969,-16.67,5.14,1,5.62,67.76,10,7.69,1.02,1.79,4.82,10540.58
Mar-18,12518.96,12534.47,25873187.88,1995.46,25570,6756,15984,3157,5711,1841,66.19,13.1,1,11.32,-47.42,-6.5,15.52,5.32,2.26,-0.21,11082.76
Jun-18,13516.02,13517.82,26096606.1,2173.85,29368,7136,17056,3503,6013,1986,8.94,7.85,1,5.62,10.96,7.88,0.86,14.85,6.71,5.29,12534.47
Sep-18,15114.67,15106.57,32788060.26,2339.78,30792,7620,18297,3879,6485,2154,7.63,11.75,1,6.78,10.73,8.46,25.64,4.85,7.28,7.85,13517.82
Dec-18,14640.73,14615.74,49666987.28,2122.7,30964,7486,18819,3501,6556,2014,-9.28,-3.25,-1,-1.76,-9.74,-6.5,51.48,0.56,2.85,1.09,15106.57
Mar-19,15319.3,15310.17,36613918.97,2196.01,32046,7823,18935,3820,6958,2031,3.45,4.75,1,4.5,9.11,0.84,-26.28,3.49,0.62,6.13,14615.74
Jun-19,16073.05,16068.58,34781527.9,2112.83,32657,8714,19131,3569,6765,1793,-3.79,4.95,1,11.39,-6.57,-11.72,-5,1.91,1.04,-2.77,15310.17
Sep-19,15608.3,15592.9,24632028.68,1947.53,32387,8636,19666,3829,8130,2232,-7.82,-2.96,-1,-0.9,7.28,24.48,-29.18,-0.83,2.8,20.18,16068.58
