Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-NOV-2015,11364.55,11427.95,11320.95,11412.15,10126396.0,1009.2
10-NOV-2015,11385.7,11387.85,11191.9,11214.2,6966686.0,736.92
11-NOV-2015,11305.2,11312.3,11230.4,11249.7,795240.0,82.72
13-NOV-2015,11110.75,11176.75,11027.1,11102.45,6927725.0,808.56
16-NOV-2015,11011.5,11061.6,10911.1,11003.8,8864946.0,917.27
17-NOV-2015,11032.45,11052.4,10974.55,11035.1,10917373.0,1076.88
18-NOV-2015,10967.75,10969.5,10799.0,10836.7,10167296.0,1012.92
19-NOV-2015,10910.5,11059.85,10893.75,11032.9,9850813.0,1008.63
20-NOV-2015,11045.65,11195.75,11036.9,11118.85,10781657.0,1071.38
23-NOV-2015,11126.25,11189.5,11084.35,11121.2,8727231.0,851.3
24-NOV-2015,11096.4,11122.05,11036.05,11057.35,7784549.0,750.17
26-NOV-2015,11048.4,11129.25,11013.9,11042.95,15045631.0,1492.54
27-NOV-2015,11064.6,11136.4,11031.45,11122.9,7402279.0,769.3
30-NOV-2015,11147.85,11279.65,11083.6,11206.0,21067524.0,2154.87
01-DEC-2015,11216.95,11293.2,11216.95,11256.3,9112940.0,927.1
02-DEC-2015,11298.9,11298.9,11134.9,11149.6,7524996.0,808.63
03-DEC-2015,11149.3,11153.7,11067.55,11081.9,9384540.0,979.29
04-DEC-2015,11034.65,11037.95,10940.3,10969.05,10062731.0,975.55
07-DEC-2015,11009.5,11054.0,10943.85,10998.65,8477753.0,810.86
08-DEC-2015,10989.2,11109.3,10946.0,10981.85,8486760.0,825.67
09-DEC-2015,10978.25,11027.3,10916.25,10930.05,11006038.0,1352.4
10-DEC-2015,10971.55,11073.15,10931.15,11055.5,7908231.0,832.66
11-DEC-2015,11086.55,11086.55,11015.6,11043.05,8502528.0,901.96
14-DEC-2015,10940.75,11124.9,10940.75,11099.7,7044052.0,828.05
15-DEC-2015,11139.55,11139.55,11044.35,11058.25,9065922.0,815.4
16-DEC-2015,11081.75,11187.85,11081.75,11144.9,8751937.0,849.05
17-DEC-2015,11182.95,11293.05,11122.45,11275.15,9556916.0,909.72
18-DEC-2015,11227.15,11227.15,11094.8,11122.5,11781399.0,1222.45
21-DEC-2015,11096.4,11232.5,11067.2,11224.75,6043899.0,641.56
22-DEC-2015,11201.8,11201.8,11081.15,11095.45,5998230.0,636.63
23-DEC-2015,11163.8,11206.4,11130.65,11195.65,4638075.0,456.29
24-DEC-2015,11193.25,11197.5,11152.85,11184.9,2927864.0,318.27
28-DEC-2015,11152.7,11303.05,11146.85,11271.8,8055590.0,1001.9
29-DEC-2015,11257.05,11287.5,11206.6,11253.45,6024174.0,662.62
30-DEC-2015,11247.35,11263.6,11100.1,11117.6,6564991.0,707.19
31-DEC-2015,11113.0,11233.85,11113.0,11212.55,8197040.0,859.05
01-JAN-2016,11210.25,11221.6,11137.85,11174.85,3126850.0,319.03
04-JAN-2016,11144.0,11160.95,11004.65,11029.25,7875357.0,767.78
05-JAN-2016,11082.6,11084.6,10945.2,10997.15,7909892.0,859.88
06-JAN-2016,11027.55,11037.4,10979.45,11018.15,8585557.0,918.75
07-JAN-2016,10947.75,10964.65,10822.7,10863.2,10454519.0,1066.61
08-JAN-2016,10933.3,11007.5,10896.45,10989.55,7287266.0,734.59
11-JAN-2016,10898.8,10917.45,10797.7,10823.9,9742884.0,1008.7
12-JAN-2016,10850.25,10850.25,10659.25,10790.35,9984443.0,1085.98
13-JAN-2016,10807.85,10860.4,10646.55,10839.85,11133904.0,1322.31
14-JAN-2016,10730.65,11068.9,10685.35,10980.45,23469653.0,2526.62
15-JAN-2016,11050.65,11057.7,10949.95,10994.95,14012251.0,1579.57
18-JAN-2016,10954.2,11084.4,10954.2,10984.0,11716225.0,1244.04
19-JAN-2016,11052.4,11064.8,10873.6,10963.1,12176980.0,1166.12
20-JAN-2016,10897.8,10945.4,10855.2,10910.5,10426978.0,1015.56
21-JAN-2016,10957.95,10994.9,10893.35,10934.7,10558161.0,1077.39
22-JAN-2016,11020.6,11030.65,10961.35,11006.7,7367656.0,773.08
25-JAN-2016,11047.0,11113.8,11000.25,11025.35,6649189.0,691.76
27-JAN-2016,11052.55,11061.8,10992.45,11029.1,10815699.0,1007.87
28-JAN-2016,11010.1,11073.75,10984.25,11002.7,13918783.0,1415.82
29-JAN-2016,11061.85,11266.75,11024.95,11236.15,17438592.0,1601.88
01-FEB-2016,11271.15,11409.1,11234.8,11305.25,16768205.0,1262.37
02-FEB-2016,11325.75,11377.95,11182.5,11242.1,19286309.0,1503.46
03-FEB-2016,11179.75,11218.45,11065.8,11122.25,12152041.0,999.52
04-FEB-2016,11178.25,11289.8,11148.15,11213.65,10379772.0,917.55
05-FEB-2016,11222.2,11285.1,11188.45,11227.55,8207885.0,760.67
08-FEB-2016,11160.85,11190.35,10962.8,11001.45,7344448.0,673.39
09-FEB-2016,10866.2,10866.2,10590.1,10614.25,14971950.0,1264.94
10-FEB-2016,10614.3,10693.9,10570.65,10600.45,13147364.0,1060.08
11-FEB-2016,10615.35,10615.35,10279.7,10312.95,12495553.0,1025.67
12-FEB-2016,10404.6,10462.9,10157.1,10324.45,17610027.0,1287.84
15-FEB-2016,10446.25,10544.45,10437.0,10493.75,12549138.0,1027.81
16-FEB-2016,10487.4,10511.4,10393.6,10418.65,8993279.0,780.51
17-FEB-2016,10429.35,10518.25,10325.25,10502.45,17356929.0,1193.7
18-FEB-2016,10554.55,10723.4,10554.45,10702.25,16150256.0,1195.25
19-FEB-2016,10670.75,10791.05,10649.75,10768.9,10428901.0,787.83
22-FEB-2016,10778.8,10778.8,10691.35,10720.6,9168828.0,764.93
23-FEB-2016,10721.4,10729.6,10575.15,10601.45,8340937.0,677.14
24-FEB-2016,10581.0,10586.05,10446.4,10468.05,8531990.0,781.4
25-FEB-2016,10469.85,10484.95,10329.2,10403.5,10694119.0,902.75
26-FEB-2016,10488.45,10567.95,10419.0,10463.35,9415436.0,790.18
29-FEB-2016,10504.4,10504.4,10075.75,10278.4,12161703.0,1130.7
01-MAR-2016,10337.95,10657.1,10313.5,10637.35,10385527.0,968.6
02-MAR-2016,10740.45,10920.9,10642.05,10897.1,12342461.0,1109.95
03-MAR-2016,10982.0,11089.45,10950.85,11054.95,20107981.0,1721.26
04-MAR-2016,11086.1,11088.1,10930.95,10980.85,23086012.0,1908.73
08-MAR-2016,10928.4,10977.3,10832.25,10914.2,22893639.0,1947.32
09-MAR-2016,10815.05,10947.7,10733.2,10925.8,34104849.0,2559.92
10-MAR-2016,10923.75,10924.8,10783.05,10826.9,30038742.0,2712.52
11-MAR-2016,10825.9,10898.7,10805.75,10835.45,14674310.0,1210.76
14-MAR-2016,10854.2,10935.65,10836.95,10866.85,14231291.0,1103.71
15-MAR-2016,10867.65,10900.25,10709.0,10730.45,11141197.0,1013.73
16-MAR-2016,10733.7,10819.35,10698.7,10803.2,10671044.0,969.36
17-MAR-2016,10854.0,10961.65,10854.0,10923.5,14035701.0,1246.39
18-MAR-2016,10938.05,11177.25,10938.05,11159.7,17103977.0,1568.44
21-MAR-2016,11158.95,11221.8,11093.6,11193.85,10929640.0,1053.87
22-MAR-2016,11171.9,11229.25,11118.5,11206.6,19527945.0,1673.32
23-MAR-2016,11219.7,11246.0,11125.1,11228.15,17617607.0,1603.86
28-MAR-2016,11328.15,11384.9,11112.85,11168.7,20401896.0,1961.31
29-MAR-2016,11172.8,11188.65,11089.0,11114.7,14642638.0,1326.12
30-MAR-2016,11127.5,11271.7,11127.5,11254.55,14607256.0,1308.75
31-MAR-2016,11240.6,11387.9,11216.45,11309.3,28703814.0,2801.9
01-APR-2016,11306.35,11352.05,11128.05,11194.65,13591384.0,1334.89
04-APR-2016,11224.9,11407.45,11224.9,11387.7,10746882.0,1037.2
05-APR-2016,11386.55,11399.05,11245.5,11274.95,9810804.0,971.56
06-APR-2016,11325.1,11325.1,11165.25,11224.95,9646638.0,903.55
07-APR-2016,11264.6,11264.6,11087.2,11102.6,8675441.0,935.14
08-APR-2016,11082.25,11085.65,11028.15,11061.15,9261058.0,829.03
11-APR-2016,11066.25,11304.65,10975.15,11291.35,13319300.0,1314.76
12-APR-2016,11284.0,11332.85,11243.75,11304.45,11757296.0,1109.21
13-APR-2016,11412.1,11430.95,11330.5,11351.85,14301422.0,1464.01
18-APR-2016,11493.5,11638.1,11485.15,11597.25,27146780.0,3255.56
20-APR-2016,11697.4,11697.4,11506.15,11552.75,17857029.0,2016.78
21-APR-2016,11500.45,11514.5,11329.9,11355.4,13926801.0,1265.52
22-APR-2016,11326.55,11376.05,11292.4,11304.05,10321425.0,980.95
25-APR-2016,11288.7,11380.55,11267.1,11315.45,8852971.0,952.2
26-APR-2016,11292.35,11444.35,11251.35,11417.35,10029117.0,1067.69
27-APR-2016,11398.9,11507.75,11398.9,11453.0,8807962.0,934.36
28-APR-2016,11350.15,11428.65,11265.7,11287.15,26615952.0,2637.09
29-APR-2016,11269.1,11279.25,11140.55,11196.25,17856349.0,1598.03
02-MAY-2016,11181.15,11181.15,11075.95,11117.7,8245605.0,763.74
03-MAY-2016,11129.9,11167.9,10909.95,10925.7,12701121.0,1215.55
04-MAY-2016,10913.75,10969.6,10858.8,10948.6,13630944.0,1210.09
05-MAY-2016,10966.75,11024.15,10909.6,10973.85,11557528.0,1060.81
06-MAY-2016,10960.1,10960.1,10846.65,10887.0,9008153.0,750.27
09-MAY-2016,10900.1,11006.5,10884.05,10991.5,10704177.0,1028.85
10-MAY-2016,11010.25,11065.7,10948.75,11034.4,11025224.0,924.58
11-MAY-2016,10926.85,11030.3,10900.4,10960.4,11881912.0,1041.72
12-MAY-2016,10967.35,11089.8,10955.6,11081.1,8100065.0,761.81
13-MAY-2016,11081.3,11081.3,10986.2,11030.7,10936677.0,1032.74
16-MAY-2016,11063.1,11134.3,11030.05,11087.75,8453249.0,764.77
17-MAY-2016,11126.75,11197.35,11101.25,11125.1,9819119.0,931.19
18-MAY-2016,11073.55,11141.5,11038.25,11120.05,9019440.0,843.86
19-MAY-2016,11124.8,11136.7,11067.2,11094.6,7759823.0,705.01
20-MAY-2016,11067.0,11149.15,11025.7,11036.15,10263214.0,921.64
23-MAY-2016,11080.4,11080.4,10917.15,10939.9,13950324.0,1219.08
24-MAY-2016,10946.5,10946.5,10868.15,10924.8,14221089.0,1115.92
25-MAY-2016,11019.05,11223.4,11019.05,11215.5,20906137.0,1487.58
26-MAY-2016,11231.85,11366.05,11178.25,11337.15,15792493.0,1380.56
27-MAY-2016,11325.7,11462.05,11325.7,11420.85,11321580.0,1044.96
30-MAY-2016,11433.95,11579.25,11433.95,11547.5,10232578.0,944.93
31-MAY-2016,11554.65,11559.45,11374.85,11395.85,32132052.0,2958.19
01-JUN-2016,11405.5,11516.0,11405.5,11494.9,10787515.0,1057.79
02-JUN-2016,11447.05,11586.2,11399.45,11458.2,13948173.0,1207.37
03-JUN-2016,11482.05,11527.0,11450.25,11462.0,8743264.0,832.56
06-JUN-2016,11443.5,11469.15,11382.75,11395.8,10312241.0,914.26
07-JUN-2016,11434.6,11461.25,11384.45,11413.35,11928792.0,1033.06
08-JUN-2016,11427.15,11427.15,11380.9,11404.5,10442067.0,1025.8
09-JUN-2016,11413.3,11413.3,11215.95,11264.85,14935866.0,1461.7
10-JUN-2016,11226.45,11320.4,11210.6,11229.05,12821894.0,1180.5
13-JUN-2016,11164.15,11214.2,11111.7,11191.55,8343619.0,780.21
14-JUN-2016,11210.65,11222.35,11110.75,11169.45,6907602.0,617.32
15-JUN-2016,11195.95,11293.15,11172.6,11282.05,6976940.0,757.72
16-JUN-2016,11249.7,11263.5,11128.95,11244.25,7378522.0,723.65
17-JUN-2016,11258.65,11304.8,11242.55,11290.8,12449933.0,1236.85
20-JUN-2016,11272.95,11518.7,11256.65,11506.6,12629155.0,1202.95
21-JUN-2016,11515.25,11519.9,11453.2,11488.45,8232500.0,774.15
22-JUN-2016,11509.05,11524.3,11421.55,11490.8,7632195.0,752.74
23-JUN-2016,11469.35,11526.4,11396.75,11487.05,6471630.0,665.72
24-JUN-2016,11193.25,11218.3,11043.1,11203.15,14923291.0,1503.54
27-JUN-2016,11069.9,11094.8,10976.8,11008.05,9687213.0,1157.68
28-JUN-2016,10978.6,11031.5,10874.6,10884.65,13377522.0,1463.86
29-JUN-2016,10943.3,11072.3,10900.95,11057.4,10849342.0,1071.25
30-JUN-2016,11109.7,11156.4,11052.25,11120.15,15207257.0,1699.33
01-JUL-2016,11172.65,11178.05,11078.45,11098.4,6452096.0,733.38
04-JUL-2016,11142.25,11242.3,11142.25,11184.85,8314465.0,853.81
05-JUL-2016,11176.2,11176.2,11110.6,11141.0,6851493.0,701.22
07-JUL-2016,11136.3,11138.45,10929.4,10942.0,11522480.0,1207.42
08-JUL-2016,10947.95,10982.95,10896.9,10946.7,7468140.0,837.26
11-JUL-2016,10993.85,11073.4,10992.55,11045.95,9190711.0,903.26
12-JUL-2016,11064.4,11072.3,10997.3,11056.8,8392487.0,831.28
13-JUL-2016,11094.2,11139.0,11042.95,11128.2,10579802.0,1022.99
14-JUL-2016,11117.35,11174.6,11090.8,11157.85,8660653.0,1001.87
15-JUL-2016,11197.85,11219.05,10691.7,10716.45,45101876.0,4977.35
18-JUL-2016,10734.5,10767.85,10659.8,10735.1,15727643.0,1528.32
19-JUL-2016,10694.95,10777.6,10694.0,10766.3,17825899.0,1526.4
20-JUL-2016,10600.75,10775.8,10600.75,10764.7,21106183.0,1699.84
21-JUL-2016,10749.75,10789.25,10719.8,10772.25,10356504.0,1071.94
22-JUL-2016,10745.55,10775.2,10711.5,10756.0,10295518.0,977.62
25-JUL-2016,10734.1,10880.4,10731.2,10870.9,10178345.0,993.53
26-JUL-2016,10839.5,10901.1,10836.8,10877.65,12775441.0,1151.16
27-JUL-2016,10875.45,10952.65,10849.3,10928.45,9688082.0,940.68
28-JUL-2016,10923.1,10952.7,10881.3,10935.65,16448508.0,1748.38
29-JUL-2016,10916.9,10952.75,10871.95,10913.3,10417913.0,1068.66
01-AUG-2016,10917.7,11149.55,10913.5,11139.05,16985063.0,1673.4
02-AUG-2016,11129.45,11231.95,11112.45,11179.0,17569285.0,1524.1
03-AUG-2016,11307.05,11307.05,11143.1,11181.4,20039262.0,1795.72
04-AUG-2016,11226.45,11229.05,11128.65,11148.45,8136329.0,748.9
05-AUG-2016,11177.35,11226.5,11091.8,11137.05,10253491.0,955.94
08-AUG-2016,11136.1,11205.0,11122.15,11197.2,11939491.0,1030.31
09-AUG-2016,11207.7,11214.95,11128.95,11198.0,11050924.0,1068.51
10-AUG-2016,11184.25,11202.2,11152.1,11175.9,11234996.0,1009.64
11-AUG-2016,11173.3,11254.2,11170.6,11222.2,9725914.0,956.81
12-AUG-2016,11218.7,11302.4,11153.45,11173.4,12677589.0,1173.2
16-AUG-2016,11121.95,11136.05,10955.65,10993.55,20601765.0,1914.92
17-AUG-2016,10992.95,10993.95,10790.6,10808.75,18045681.0,1341.98
18-AUG-2016,10855.55,10887.75,10765.95,10783.5,12057371.0,1087.66
19-AUG-2016,10807.3,10873.15,10721.9,10727.6,12486590.0,1065.17
22-AUG-2016,10704.65,10728.8,10568.45,10593.2,11859697.0,1135.12
23-AUG-2016,10610.4,10790.85,10599.55,10767.1,10969968.0,955.63
24-AUG-2016,10792.95,10845.7,10753.25,10786.35,9244092.0,790.47
25-AUG-2016,10824.75,10826.15,10649.7,10665.65,18239899.0,1313.2
26-AUG-2016,10680.3,10717.65,10495.2,10523.05,13551428.0,1039.67
29-AUG-2016,10548.95,10548.95,10329.45,10385.35,13822195.0,1014.79
30-AUG-2016,10422.65,10585.1,10411.75,10572.3,12600693.0,956.6
31-AUG-2016,10593.75,10654.2,10496.3,10546.1,16159602.0,1521.52
01-SEP-2016,10570.1,10583.3,10499.6,10533.25,8952600.0,719.48
02-SEP-2016,10549.35,10555.7,10482.7,10528.35,8173693.0,703.72
06-SEP-2016,10524.05,10558.35,10505.6,10545.3,15984697.0,1292.76
07-SEP-2016,10605.85,10643.5,10468.75,10499.9,15598656.0,1423.03
