Title,Description
"MC Daily Monsoon Tracker: Rain surplus continues to rises, over 7% now","A fourth of states still remain deficient, while nine have got 'excessive' rain, while one has 'large excess' 
"
Digital risks imperil banking even as technology makes it convenient to bank,"Blindly following digitalisation to cut costs would imperil banking 
"
"Chart of the Day: Monetary Policy Committee has a rich history of dissent, but no split","MPC members have differed not just in policy rate changes but also the stance. 
"
JPMorgan boosts US recession chance to 35% by end of this year,"With US inflation pressures coming down, JPMorgan sees the Fed cutting rates by half a percentage point in September and November. 
"
RBI MPC Meeting 2024 LIVE: Governor Das addresses post monetary policy press conference,"RBI MPC Meeting 2024 Live Updates: Repo rate remains unchanged at 6.5%, marking the eighth consecutive review since February 2023. This steady stance represents the second-longest period of rate stability in the past 25 years. 
"
India needs to grow at 8% to achieve $52-trillion economy by 2047: IMF's KV Subramanian,"Arvind Panagariya, chairman of the 16th Finance Commission, called for further opening of the economy and privatisation of public sector banks 
"
"India must focus on privatisation of banks, public sector enterprises: 16th Finance Commission chairman Arvind Panagariya","Government needs to get out of cycle of NPAs and recapitalisation, Panagariya said 
"
RBI MPC meet: Turf war between hawkish RBI and global macro scenario,"Kotak AMC's top executive expects RBI to keep the policy interest rates unchanged in upcoming August 2024 policy 
"
"Removal of indexation on real estate was done for simplification, clarifies FM Sitharaman","In a reply to Lok Sabha, Sitharaman added that this LTCG option on real estate is aimed at no additional tax burden for taxpayers. She also said that discussions on capital gains tax have been ""twisted and turned."" 
"
Comprehensive review of rate structure of indirect taxes in next 6 months: FM Sitharaman in Lok Sabha,"Replying in Lok Sabha, Sitharaman begins her address by listing out all the measures that have been taken by the government for the middle class. 
"
MPC is way behind the curve; policy rate is too high,"Since April-June 2022, inflation has been driven primarily by supply side shocks. It hasn’t spilled over as core inflation is at a record low. Voting status quo hurts the economy’s productive capacity  
"
Rupee may have room to depreciate despite record low; REER data shows overvaluation,"However, economists note that even if the rupee is overvalued the RBI may not orchestrate a steep depreciation. 
"
