Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
12/31/2020,EQ,"2,900.00","2,905.00","2,845.00","2,909.30","2,864.95","2,862.75","2,874.36","2,952.00","1,506.05","40,40,956","11,61,51,70,401.55","1,30,170"
12/30/2020,EQ,"2,934.40","2,947.70","2,902.00","2,930.50","2,910.00","2,909.30","2,918.00","2,952.00","1,506.05","26,37,968","7,69,75,96,026.60","87,612"
12/29/2020,EQ,"2,920.00","2,952.00","2,920.00","2,929.40","2,935.00","2,930.50","2,937.59","2,952.00","1,506.05","19,94,151","5,85,79,96,376.70","99,597"
12/28/2020,EQ,"2,910.00","2,949.70","2,902.00","2,909.35","2,932.10","2,929.40","2,929.11","2,949.70","1,506.05","21,08,994","6,17,74,67,465.10","1,06,481"
12/24/2020,EQ,"2,909.00","2,921.35","2,883.20","2,908.75","2,908.95","2,909.35","2,902.86","2,921.35","1,506.05","18,07,144","5,24,58,86,550.40","76,405"
12/23/2020,EQ,"2,876.05","2,919.00","2,865.45","2,872.50","2,907.15","2,908.75","2,904.67","2,919.00","1,506.05","27,90,988","8,10,69,11,741.25","1,25,341"
12/22/2020,EQ,"2,834.00","2,883.65","2,818.65","2,820.15","2,870.65","2,872.50","2,848.13","2,898.00","1,506.05","28,81,737","8,20,75,69,106.95","1,58,517"
12/21/2020,EQ,"2,861.00","2,886.50","2,785.00","2,861.00","2,810.00","2,820.15","2,853.21","2,898.00","1,506.05","27,05,195","7,71,84,76,165.55","1,41,821"
12/18/2020,EQ,"2,868.00","2,898.00","2,846.20","2,838.20","2,851.95","2,861.00","2,873.74","2,898.00","1,506.05","60,76,692","17,46,28,37,839.65","1,78,840"
12/17/2020,EQ,"2,811.00","2,853.70","2,805.00","2,814.20","2,848.70","2,838.20","2,823.94","2,885.00","1,506.05","28,63,460","8,08,62,36,716.70","1,21,983"
12/16/2020,EQ,"2,779.00","2,819.80","2,760.45","2,761.55","2,810.00","2,814.20","2,792.39","2,885.00","1,506.05","25,65,149","7,16,28,92,179.05","1,09,504"
12/15/2020,EQ,"2,786.00","2,794.70","2,755.00","2,797.70","2,763.95","2,761.55","2,768.65","2,885.00","1,506.05","23,65,509","6,54,92,73,569.60","1,52,067"
12/14/2020,EQ,"2,802.00","2,804.00","2,756.25","2,783.60","2,796.55","2,797.70","2,787.40","2,885.00","1,506.05","24,83,658","6,92,29,52,988.10","1,12,781"
12/11/2020,EQ,"2,792.70","2,807.70","2,764.55","2,784.30","2,782.00","2,783.60","2,789.22","2,885.00","1,506.05","17,95,408","5,00,77,81,485.00","90,719"
12/10/2020,EQ,"2,818.00","2,827.30","2,780.25","2,810.80","2,784.80","2,784.30","2,794.17","2,885.00","1,506.05","21,27,801","5,94,54,38,936.55","1,06,653"
12/09/2020,EQ,"2,815.00","2,840.00","2,793.15","2,797.30","2,812.05","2,810.80","2,817.31","2,885.00","1,506.05","36,59,996","10,31,13,51,385.55","1,47,222"
12/08/2020,EQ,"2,740.00","2,805.55","2,732.45","2,737.70","2,795.00","2,797.30","2,771.25","2,885.00","1,506.05","42,77,818","11,85,49,14,854.55","2,73,215"
12/07/2020,EQ,"2,715.00","2,744.00","2,706.15","2,727.55","2,741.00","2,737.70","2,721.02","2,885.00","1,506.05","19,96,400","5,43,22,46,145.90","1,11,040"
12/04/2020,EQ,"2,710.80","2,738.85","2,699.00","2,709.45","2,723.00","2,727.55","2,722.95","2,885.00","1,506.05","26,86,527","7,31,52,91,484.55","1,21,585"
12/03/2020,EQ,"2,773.90","2,773.90","2,700.80","2,749.55","2,710.00","2,709.45","2,728.72","2,885.00","1,506.05","28,52,548","7,78,38,10,980.40","1,21,400"
12/02/2020,EQ,"2,719.00","2,754.70","2,702.45","2,726.80","2,745.50","2,749.55","2,727.49","2,885.00","1,506.05","25,09,032","6,84,33,51,199.50","1,06,756"
12/01/2020,EQ,"2,679.00","2,735.90","2,624.45","2,679.65","2,729.00","2,726.80","2,695.43","2,885.00","1,506.05","36,05,017","9,71,70,83,002.65","1,53,842"
11/27/2020,EQ,"2,705.00","2,717.70","2,669.05","2,720.60","2,678.00","2,679.65","2,684.61","2,885.00","1,506.05","60,86,808","16,34,06,91,429.60","1,68,842"
11/26/2020,EQ,"2,686.00","2,730.95","2,680.00","2,701.30","2,730.00","2,720.60","2,703.16","2,885.00","1,506.05","23,41,099","6,32,83,69,462.20","1,03,635"
11/25/2020,EQ,"2,729.00","2,732.95","2,688.20","2,722.05","2,700.00","2,701.30","2,707.81","2,885.00","1,506.05","33,02,249","8,94,18,71,533.30","1,63,422"
11/24/2020,EQ,"2,734.40","2,743.00","2,705.00","2,724.25","2,726.00","2,722.05","2,724.87","2,885.00","1,506.05","31,20,516","8,50,29,92,372.30","1,48,092"
11/23/2020,EQ,"2,690.00","2,730.00","2,665.00","2,660.25","2,727.25","2,724.25","2,706.23","2,885.00","1,506.05","37,06,418","10,03,04,30,979.80","1,50,378"
11/20/2020,EQ,"2,655.00","2,676.00","2,627.55","2,636.90","2,657.80","2,660.25","2,657.32","2,885.00","1,506.05","27,11,471","7,20,52,37,904.70","1,18,196"
11/19/2020,EQ,"2,637.00","2,676.15","2,630.85","2,626.65","2,640.25","2,636.90","2,648.32","2,885.00","1,506.05","41,67,501","11,03,68,55,515.70","1,78,640"
11/18/2020,EQ,"2,661.00","2,664.20","2,607.05","2,666.05","2,626.00","2,626.65","2,625.58","2,885.00","1,506.05","28,93,762","7,59,77,89,756.35","1,36,273"
11/17/2020,EQ,"2,695.00","2,695.00","2,650.05","2,670.35","2,661.25","2,666.05","2,670.80","2,885.00","1,506.05","28,27,273","7,55,10,68,267.15","1,34,996"
