Title,Description,Date
Vedanta to offload 2.6 percent stake in Hindustan Zinc via Offer For Sale,"Hindustan Zinc's demerger process will kick off once Centre completes its long pending divestment process, chief executive officer Arun Misra told Moneycontrol in April. 
",08/13/2024
"Nifty, Sensex plunge as all sectors slip in the red; Metal, bank stocks worst hit","Titan Company, Apollo Hospitals, Dr Reddy's Labs, Tata Consumer, HCL Tech were among major gainers on the Nifty 
",08/13/2024
"Live: Nifty drops below key support of 24,200 as banks slump| Aarti Inds, Bata in focus|Closing Bell","Nifty slides to day's low amid profitbooking. Nifty slips below crucial support level of 24,200. Over 600-point fall on Sensex. HDFC Bank weighs heavy on Nifty Bank; index below 50,000. Broader markets too succumb to selling pressure. NSE advance-decline ratio is at 1:3. Almost all sectors in red; Banks & metals top drags. Nifty Fin Services index down 2% on weekly expiry day. Catch Nandita Khemka and Yatin Mota as they discuss stocks on their radar. 
",08/13/2024
"Taking Stock: Market reacts to mixed macroeconomic data; Sensex down 693 pts, Nifty below 24,150","Titan Company, Apollo Hospitals, Dr Reddy's Labs, Tata Consumer, HCL Tech were among major gainers on the Nifty, while losers were Shriram Finance, BPCL, HDFC Life, HDFC Bank and Bajaj Finance 
",08/13/2024
"Citi, Jefferies remain bullish on ONGC after govt hikes premiums for new gas wells","Brokerages remain bullish on ONGC, with Jefferies and Citi raising target prices after the government announced a 20% premium on new gas wells. 
",08/13/2024
Accumulate Jyothy Labs; target of Rs 645: Geojit Financial Services,"Geojit Financial Services recommended accumulate rating on Jyothy Labs with a target price of Rs 645 in its research report dated August 13, 2024. 
",08/13/2024
"Weak global cues will have little impact on resilient Indian markets, says Tridib Pathak of Avendus","In the digital food delivery companies there is scepticism about profitability, said Pathak. ""It takes time for these companies to become profitable and even if they do, the ROCE will still be low,"" he said. 
",08/13/2024
Buy Lemon Tree Hotels; target of Rs 150: Anand Rathi,"Anand Rathi is bullish on Lemon Tree Hotels has recommended buy rating on the stock with a target price of Rs 150 in its research report dated August 09, 2024. 
",08/13/2024
Accumulate PVR Inox; target of Rs 1709: Geojit Financial Services,"Geojit Financial Services recommended accumulate rating on PVR Inox with a target price of Rs 1709 in its research report dated August 09, 2024. 
",08/13/2024
Accumulate H.G. Infra Engineering; target of Rs 1788: Geojit Financial Services,"Geojit Financial Services recommended accumulate rating on H.G. Infra Engineering with a target price of Rs 1788 in its research report dated August 08, 2024. 
",08/13/2024
Hold Astral; target of Rs 2225: Prabhudas Lilladher,"Prabhudas Lilladher recommended hold rating on Astral with a target price of Rs 2225 in its research report dated August 12, 2024. 
",08/13/2024
"DOMS Industries shares surge, hits all-time high on stellar Q1 results","Since its listing seven months ago, the stock has more than tripled, soaring over 200 percent from its IPO price of Rs 790 per share 
",08/13/2024
